Cryo,Map Resolution,PDB,Peak Level,Size Cutoff >,Cryo Type,vTree#,numOfVoxels,numberOfNeighbors,neighbor trees,Max Density,MinDensity,AvgDensity,stdDensity,Percentage of voxels within 1 std,Percentage of voxels within 2 std,PCA_EigenValue1,PCA_EigenValue2,PCA_EigenValue3,PCA Thickness Ratio ev1/ev2,PCA Thickness Ratio ev2/ev3,Structure Tensor Helix (Percentage),Structure Tensor Sheet (Percentage),Percentage of voxels with density less than average,Radius of Gyration,Width,Hlx overlap (percentage),Strand overlap (percentage),Loop overlap (percentage),Unknown (percentage) - most likely outside protein model (noise),Label
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,98,98,2,38 56,0.58,0.44,0.51,0.03,0.67,0.97,16.26,2.85,1.59,5.71,1.79,0.48,0.52,0.49,4.6,2.58076,0,0,0.9,0.1,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,73,125,6,41 79 102 112 151 179,0.65,0.51,0.57,0.04,0.62,0.98,9.25,5.79,2.31,1.6,2.51,0.5,0.5,0.53,4.2,5.16151,0.02,0,0.98,0,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,67,132,2,104 107,0.61,0.45,0.51,0.04,0.69,0.96,7.56,5.78,2.47,1.31,2.34,0.55,0.45,0.6,4.1,5.37227,0.25,0.75,0,0,Sheet
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,103,92,4,23 46 165 201,0.65,0.46,0.54,0.04,0.62,0.98,7.38,3.6,2.27,2.05,1.58,0.45,0.55,0.52,3.7,3.64974,0.05,0,0.95,0,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,117,76,5,8 15 47 137 204,0.62,0.5,0.55,0.03,0.67,0.97,5.79,4.11,1.54,1.41,2.66,0.22,0.78,0.54,3.5,3.64974,0.03,0.68,0.29,0,Sheet
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,116,78,4,25 109 114 208,0.6,0.46,0.52,0.03,0.6,0.99,14.08,2.56,1.57,5.5,1.63,0.54,0.46,0.5,4.3,2.10718,0,0,0.95,0.05,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,102,94,5,3 73 96 101 187,0.62,0.49,0.54,0.03,0.64,0.96,10.42,3.11,2.04,3.35,1.53,0.46,0.54,0.5,4,4.47,0,0.03,0.97,0,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,66,132,3,63 136 143,0.66,0.49,0.55,0.04,0.62,0.97,6.92,4.63,3.38,1.49,1.37,0.67,0.33,0.55,3.9,5.16151,1,0,0,0,Helix
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,72,125,4,64 71 108 217,0.59,0.47,0.51,0.03,0.65,0.96,8.28,4.65,2.47,1.78,1.88,0.42,0.58,0.58,4,4.94177,0,0.06,0.94,0,Loop
ProteinSet/emd_6980_B.mrc,5.6,ProteinSet/6a5l.pdb,0.95,9,Authentic,99,96,7,29 74 94 104 124 134 162,0.56,0.47,0.51,0.02,0.66,0.96,6.41,4.76,2.4,1.35,1.99,0.29,0.71,0.56,3.8,4.47,0.03,0.95,0.02,0,Sheet
